epoch,cpu,mem
1,55.0,0.5
2,76.0,0.5
3,97.0,0.5
4,112.0,0.5
5,123.0,0.6
6,187.0,0.6
7,245.0,0.6
8,296.0,0.6
9,353.0,0.6
10,273.0,0.6
11,311.0,0.6
12,355.0,0.6
13,394.0,0.6
14,328.0,0.6
15,358.0,0.6
16,387.0,0.6
17,419.0,0.6
18,452.0,0.6
19,389.0,0.6
20,417.0,0.6
21,444.0,0.6
22,471.0,0.6
23,416.0,0.6
24,440.0,0.6
25,464.0,0.6
26,489.0,0.6
27,512.0,0.6
28,460.0,0.6
29,480.0,0.6
30,501.0,0.6
31,522.0,0.6
32,474.0,0.6
33,491.0,0.6
34,509.0,0.6
35,527.0,0.6
36,545.0,0.6
37,500.0,0.6
38,517.0,0.6
39,532.0,0.6
40,547.0,0.6
41,562.0,0.6
42,519.0,0.6
43,531.0,0.6
44,544.0,0.6
45,558.0,0.6
46,520.0,0.6
47,532.0,0.6
48,544.0,0.6
49,555.0,0.6
50,568.0,0.6
51,532.0,0.6
52,543.0,0.6
53,554.0,0.6
54,566.0,0.6
55,579.0,0.6
56,546.0,0.6
57,555.0,0.6
58,564.0,0.6
59,574.0,0.6
60,542.0,0.6
61,550.0,0.6
62,558.0,0.6
63,565.0,0.6
64,574.0,0.6
65,544.0,0.6
66,551.0,0.6
67,561.0,0.6
68,571.0,0.6
69,544.0,0.6
70,554.0,0.6
71,563.0,0.6
72,571.0,0.6
73,580.0,0.6
74,554.0,0.6
75,564.0,0.6
76,572.0,0.6
77,581.0,0.6
78,557.0,0.6
79,565.0,0.6
80,572.0,0.6
81,579.0,0.6
82,587.0,0.6
83,566.0,0.6
84,574.0,0.6
85,581.0,0.6
86,587.0,0.6
87,565.0,0.6
88,572.0,0.6
89,579.0,0.6
90,585.0,0.6
91,592.0,0.6
92,571.0,0.6
93,577.0,0.6
94,585.0,0.6
95,592.0,0.6
96,571.0,0.6
97,578.0,0.6
98,585.0,0.6
99,591.0,0.6
100,598.0,0.6
101,578.0,0.6
102,585.0,0.6
103,591.0,0.6
104,597.0,0.6
105,579.0,0.6
106,585.0,0.6
107,591.0,0.6
108,596.0,0.6
109,601.0,0.6
110,583.0,0.6
111,588.0,0.6
112,593.0,0.6
113,599.0,0.6
114,603.0,0.6
115,586.0,0.6
116,589.0,0.6
117,593.0,0.6
118,597.0,0.6
119,580.0,0.6
120,584.0,0.6
121,589.0,0.6
122,593.0,0.6
123,597.0,0.6
124,580.0,0.6
125,585.0,0.6
126,589.0,0.6
127,593.0,0.6
128,577.0,0.6
129,582.0,0.6
130,588.0,0.6
131,593.0,0.6
132,578.0,0.6
133,583.0,0.6
134,587.0,0.6
135,592.0,0.6
136,597.0,0.6
137,583.0,0.6
138,587.0,0.6
139,592.0,0.6
140,597.0,0.6
141,583.0,0.6
142,588.0,0.6
143,592.0,0.6
144,596.0,0.6
145,601.0,0.6
146,587.0,0.6
147,591.0,0.6
148,595.0,0.6
149,597.0,0.6
150,601.0,0.6
151,587.0,0.6
152,591.0,0.6
153,595.0,0.6
154,599.0,0.6
155,584.0,0.6
156,587.0,0.6
157,591.0,0.6
158,594.0,0.6
159,598.0,0.6
160,586.0,0.6
161,589.0,0.6
162,593.0,0.6
163,596.0,0.6
164,599.0,0.6
165,586.0,0.6
166,589.0,0.6
167,593.0,0.6
168,595.0,0.6
169,584.0,0.6
170,588.0,0.6
171,591.0,0.6
172,594.0,0.6
173,598.0,0.6
174,586.0,0.6
175,590.0,0.6
176,594.0,0.6
177,597.0,0.6
178,586.0,0.6
179,589.0,0.6
180,593.0,0.6
181,596.0,0.6
182,600.0,0.6
183,589.0,0.6
184,592.0,0.6
185,596.0,0.6
186,599.0,0.6
187,588.0,0.6
188,592.0,0.6
189,595.0,0.6
190,599.0,0.6
191,602.0,0.6
192,590.0,0.6
193,594.0,0.6
194,597.0,0.6
195,599.0,0.6
196,602.0,0.6
197,591.0,0.6
198,594.0,0.6
199,598.0,0.6
200,601.0,0.6
201,591.0,0.6
202,594.0,0.6
203,597.0,0.6
204,599.0,0.6
205,601.0,0.6
206,591.0,0.6
207,593.0,0.6
208,597.0,0.6
209,600.0,0.6
210,587.0,0.0
