epoch,cpuset,gpuset,onlylp
1,0.248562,0.194840,0.146750
2,0.262925,0.195545,0.151729
3,0.253661,0.194794,0.142836
4,0.251803,0.195249,0.138988
5,0.253595,0.194054,0.142896
6,0.257673,0.194445,0.147803
7,0.244662,0.189765,0.139747
8,0.244150,0.183598,0.141124
9,0.232484,0.178908,0.148562
10,0.232486,0.176959,0.143431
11,0.225169,0.168057,0.147328
12,0.222460,0.165630,0.133345
13,0.215769,0.168315,0.150358
14,0.212097,0.185105,0.150019
15,0.211662,0.149632,0.150867
16,0.225959,0.147431,0.144962
17,0.207691,0.146436,0.136043
18,0.205937,0.144934,0.147574
19,0.204110,0.144970,0.141830
20,0.205219,0.145626,0.134441
21,0.203741,0.145218,0.141773
22,0.205849,0.145933,0.143480
23,0.203924,0.167319,0.146149
24,0.203349,0.143729,0.138214
25,0.203841,0.143058,0.144453
26,0.204017,0.143448,0.145351
27,0.219057,0.143242,0.144584
28,0.203304,0.142708,0.141505
29,0.206517,0.142397,0.142946
30,0.203500,0.143358,0.142073
31,0.205461,0.144259,0.155979
32,0.202092,0.142422,0.145108
33,0.202646,0.142271,0.141530
34,0.203470,0.142552,0.134228
35,0.204700,0.141720,0.132973
36,0.203302,0.142796,0.141336
37,0.201873,0.142888,0.145268
38,0.242243,0.142909,0.145616
39,0.203073,0.142092,0.142681
40,0.201188,0.142762,0.150097
41,0.200692,0.142824,0.147803
42,0.202420,0.141746,0.144242
43,0.210822,0.142631,0.153072
44,0.205098,0.142208,0.140443
45,0.210414,0.141048,0.149553
46,0.201236,0.143325,0.147731
47,0.200375,0.143532,0.145637
48,0.200536,0.141272,0.153510
49,0.205754,0.143184,0.146960
50,0.200461,0.141954,0.142505
51,0.203776,0.141993,0.138562
52,0.209533,0.143817,0.138368
53,0.273292,0.143441,0.136963
54,0.249491,0.142330,0.146130
55,0.251274,0.142664,0.140195
56,0.283948,0.143241,0.147367
57,0.268216,0.143751,0.134761
58,0.271297,0.143834,0.149310
59,0.261981,0.143458,0.135696
60,0.203676,0.143439,0.136866
61,0.204947,0.143865,0.140232
62,0.203546,0.141331,0.143579
63,0.205057,0.143518,0.150285
64,0.203136,0.143814,0.142345
65,0.205217,0.142684,0.142269
66,0.203543,0.144481,0.145005
67,0.208269,0.143560,0.139443
68,0.201407,0.141608,0.142427
69,0.204221,0.143970,0.136497
70,0.203752,0.144327,0.144551
71,0.205103,0.142151,0.143170
72,0.202411,0.142845,0.143048
73,0.204377,0.143857,0.136547
74,0.203498,0.142787,0.136705
75,0.215629,0.143207,0.146184
76,0.202491,0.143081,0.140427
77,0.202482,0.142098,0.144823
78,0.202325,0.142803,0.148443
79,0.201048,0.140658,0.150774
80,0.201850,0.143288,0.150729
81,0.203101,0.143389,0.139332
82,0.199010,0.141208,0.149341
83,0.200623,0.143363,0.138335
84,0.255560,0.142881,0.146697
85,0.202510,0.142174,0.147851
86,0.207643,0.142913,0.142469
87,0.202768,0.143634,0.149559
88,0.205176,0.142184,0.142204
89,0.202047,0.141979,0.134251
90,0.201996,0.142952,0.144958
91,0.201549,0.141749,0.139449
92,0.203219,0.142562,0.145389
93,0.201104,0.141981,0.142012
94,0.202337,0.141429,0.149640
95,0.201767,0.142030,0.147020
96,0.200642,0.141401,0.141311
97,0.201986,0.140671,0.145043
98,0.201927,0.142378,0.138920
99,0.201137,0.141260,0.136976
100,0.200421,0.142099,0.146419
101,0.200517,0.142463,0.138422
102,0.202546,0.141049,0.157279
103,0.202422,0.141995,0.142171
104,0.205151,0.142219,0.150403
105,0.201078,0.141429,0.145956
106,0.201323,0.141862,0.138555
107,0.203619,0.141819,0.146029
108,0.209340,0.140368,0.143293
109,0.254687,0.142338,0.138487
110,0.201519,0.141915,0.156287
111,0.285011,0.140799,0.144759
112,0.266205,0.142351,0.147609
113,0.263168,0.139942,0.134821
114,0.258491,0.141268,0.141525
115,0.252319,0.143129,0.153220
116,0.297117,0.141856,0.145006
117,0.266056,0.143162,0.137919
118,0.283279,0.142827,0.138676
119,0.266736,0.141034,0.147911
120,0.299516,0.142247,0.145237
121,0.205910,0.143398,0.147440
122,0.201645,0.142599,0.146825
123,0.203592,0.142705,0.142099
124,0.205386,0.143364,0.150332
125,0.202637,0.142417,0.146819
126,0.200247,0.142919,0.157244
127,0.203881,0.142923,0.144097
128,0.202089,0.142354,0.133490
129,0.192425,0.143439,0.137701
130,0.198746,0.142816,0.133375
131,0.201004,0.140768,0.133693
132,0.199243,0.143102,0.146208
133,0.202317,0.142213,0.144417
134,0.202266,0.141897,0.147346
135,0.202279,0.144095,0.149827
136,0.201984,0.141947,0.149700
137,0.200364,0.142775,0.140487
138,0.202530,0.142484,0.147878
139,0.202152,0.141929,0.136090
140,0.202332,0.142650,0.141414
141,0.203801,0.143515,0.143690
142,0.244508,0.142398,0.149999
143,0.300581,0.143544,0.142759
144,0.268456,0.143072,0.136738
145,0.207798,0.141771,0.143059
146,0.205878,0.143117,0.147971
147,0.259399,0.142880,0.146341
148,0.293283,0.141261,0.149922
149,0.268221,0.143555,0.141860
150,0.270407,0.142602,0.151073
151,0.201007,0.141847,0.147549
152,0.200357,0.142711,0.154943
153,0.200719,0.142299,0.146583
154,0.199119,0.141667,0.140450
155,0.287152,0.143206,0.144545
156,0.262643,0.142629,0.148423
157,0.266725,0.142889,0.142959
158,0.267380,0.143154,0.142095
159,0.257738,0.141913,0.136784
160,0.197244,0.143456,0.139631
161,0.205395,0.143566,0.146833
162,0.201366,0.141683,0.142132
163,0.266492,0.142638,0.140486
164,0.205444,0.142530,0.143892
165,0.203379,0.140937,0.147074
166,0.206082,0.143115,0.160034
167,0.201685,0.142732,0.153526
168,0.205044,0.140919,0.139156
169,0.205070,0.142548,0.146011
170,0.202438,0.142069,0.134420
171,0.204206,0.141623,0.146789
172,0.203547,0.142195,0.137712
173,0.205972,0.141956,0.147744
174,0.202942,0.141900,0.152608
175,0.202484,0.142148,0.145245
176,0.204396,0.140756,0.139619
177,0.202362,0.142629,0.140168
178,0.203159,0.142685,0.144261
179,0.208946,0.140787,0.141248
180,0.202946,0.142032,0.145441
181,0.200874,0.143222,0.142268
182,0.217834,0.142412,0.137571
