pid, cpu, mem, process
72 39.8 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
1015 0.0 0.0 [kworker/6:2]
----
11057 79.0 0.7 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
----
11057 99.0 0.7 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
----
11057 119 0.7 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
----
11057 141 0.7 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 254 0.8 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 153 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 209 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 268 0.8 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 313 0.8 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 236 0.8 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 280 0.8 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 306 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 336 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 377 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 310 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 333 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 357 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 392 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 333 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 354 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 373 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 401 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 420 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10910 0.1 0.0 [kworker/1:7]
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
----
11057 367 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
----
11057 384 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
----
11057 406 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
----
11057 425 0.9 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10758 0.2 0.0 bash
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
----
11057 379 0.8 python
72 39.7 0.0 [kworker/0:1]
129 33.9 0.0 [kworker/0:2]
