pid, cpu, mem, process
10760 55.0 0.5 python
72 39.8 0.0 [kworker/0:1]
129 33.8 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
1015 0.0 0.0 [kworker/6:2]
----
10760 104 0.8 python
72 39.8 0.0 [kworker/0:1]
129 33.8 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
1015 0.0 0.0 [kworker/6:2]
----
10760 87.5 3.0 python
72 39.8 0.0 [kworker/0:1]
129 33.8 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
1015 0.0 0.0 [kworker/6:2]
----
10760 98.5 4.3 python
72 39.8 0.0 [kworker/0:1]
129 33.8 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
1015 0.0 0.0 [kworker/6:2]
----
10760 110 5.0 python
72 39.8 0.0 [kworker/0:1]
129 33.8 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
1015 0.0 0.0 [kworker/6:2]
----
10760 120 6.4 python
72 39.8 0.0 [kworker/0:1]
129 33.8 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
1015 0.0 0.0 [kworker/6:2]
----
10760 87.6 7.9 python
72 39.8 0.0 [kworker/0:1]
129 33.8 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
1015 0.0 0.0 [kworker/6:2]
----
10760 95.0 9.0 python
72 39.8 0.0 [kworker/0:1]
129 33.8 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
1015 0.0 0.0 [kworker/6:2]
----
10760 102 9.0 python
72 39.8 0.0 [kworker/0:1]
129 33.8 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
1015 0.0 0.0 [kworker/6:2]
----
10760 109 9.0 python
72 39.8 0.0 [kworker/0:1]
129 33.8 0.0 [kworker/0:2]
5619 1.1 0.0 top
5272 0.5 0.0 top
5498 0.5 0.0 top
10 0.0 0.0 [lru-add-drain]
1 0.0 0.0 /sbin/init
10074 0.0 0.0 [kworker/u16:1]
1015 0.0 0.0 [kworker/6:2]
----
10760 88.0 9.0 python
