epoch,cpu,mem
1,42.0,0.3
2,54.0,0.5
3,65.0,0.5
4,76.0,0.5
5,87.0,0.5
6,98.0,0.5
7,105.0,0.5
8,135.0,0.6
9,225.0,0.6
10,127.0,0.6
11,148.0,0.6
12,192.0,0.6
13,203.0,0.6
14,237.0,0.6
15,264.0,0.6
16,300.0,0.6
17,334.0,0.6
18,226.0,0.6
19,242.0,0.6
20,267.0,0.6
21,284.0,0.6
22,315.0,0.6
23,329.0,0.6
24,360.0,0.6
25,378.0,0.6
26,305.0,0.6
27,320.0,0.6
28,340.0,0.6
29,354.0,0.6
30,374.0,0.6
31,388.0,0.6
32,410.0,0.6
33,425.0,0.6
34,357.0,0.6
35,370.0,0.6
36,385.0,0.6
37,400.0,0.6
38,417.0,0.6
39,434.0,0.6
40,449.0,0.6
41,464.0,0.6
42,401.0,0.6
43,414.0,0.6
44,427.0,0.6
45,441.0,0.6
46,455.0,0.6
47,467.0,0.6
48,479.0,0.6
49,493.0,0.6
50,433.0,0.6
51,444.0,0.6
52,454.0,0.6
53,466.0,0.6
54,477.0,0.6
55,487.0,0.6
56,499.0,0.6
57,508.0,0.6
58,520.0,0.6
59,465.0,0.6
60,475.0,0.6
61,484.0,0.6
62,494.0,0.6
63,504.0,0.6
64,512.0,0.6
65,520.0,0.6
66,529.0,0.6
67,475.0,0.6
68,484.0,0.6
69,488.0,0.6
70,498.0,0.6
71,506.0,0.6
72,515.0,0.6
73,526.0,0.6
74,535.0,0.6
75,490.0,0.6
76,493.0,0.6
77,501.0,0.6
78,506.0,0.6
79,512.0,0.6
80,520.0,0.6
81,524.0,0.6
82,532.0,0.6
83,487.0,0.6
84,494.0,0.6
85,498.0,0.6
86,504.0,0.6
87,512.0,0.6
88,519.0,0.6
89,526.0,0.6
90,533.0,0.6
91,541.0,0.6
92,502.0,0.6
93,509.0,0.6
94,516.0,0.6
95,523.0,0.6
96,529.0,0.6
97,535.0,0.6
98,541.0,0.6
99,549.0,0.6
100,514.0,0.6
101,520.0,0.6
102,526.0,0.6
103,532.0,0.6
104,538.0,0.6
105,544.0,0.6
106,550.0,0.6
107,556.0,0.6
108,522.0,0.6
109,528.0,0.6
110,536.0,0.6
111,542.0,0.6
112,548.0,0.6
113,554.0,0.6
114,560.0,0.6
115,566.0,0.6
116,533.0,0.6
117,539.0,0.6
118,544.0,0.6
