epoch,cpu,mem
1,61.0,0.9
2,69.0,1.6
3,80.0,2.3
4,90.0,3.2
5,98.0,4.1
6,110.0,4.5
7,121.0,5.2
8,131.0,5.7
9,71.5,6.2
10,77.0,6.9
11,82.5,7.7
12,87.5,8.2
13,92.0,8.8
14,98.0,8.8
15,104.0,8.8
16,110.0,8.8
17,78.0,8.8
18,82.0,8.8
19,86.0,8.8
20,90.3,8.8
21,94.3,8.8
22,98.6,8.8
23,102.0,8.8
24,106.0,8.8
25,83.2,8.8
26,86.2,8.8
27,89.5,8.8
28,92.5,8.8
29,95.7,8.8
30,98.7,8.8
31,101.0,8.8
32,105.0,8.8
33,86.4,8.8
34,89.0,8.8
35,91.4,8.8
36,94.0,8.8
37,96.4,8.8
38,99.0,8.8
39,101.0,8.8
40,103.0,8.8
41,88.5,8.8
42,90.6,8.8
43,92.6,8.8
44,94.8,8.8
45,96.8,8.8
46,99.0,8.8
47,101.0,8.8
48,103.0,8.8
49,90.2,8.8
50,92.0,8.8
51,93.7,8.8
52,95.5,8.8
53,97.2,8.8
54,99.0,8.8
55,100.0,8.8
56,102.0,8.8
57,91.3,8.8
58,92.8,8.8
59,94.5,8.8
60,96.0,8.8
61,97.6,8.8
62,99.1,8.8
63,100.0,8.8
64,102.0,8.8
65,92.2,8.8
66,93.6,8.8
67,95.0,8.8
68,96.4,8.8
69,97.7,8.8
70,99.2,8.8
71,100.0,8.8
72,101.0,8.8
73,93.0,8.8
74,94.2,8.8
75,95.5,8.8
76,96.7,8.8
77,98.0,8.8
78,99.2,8.8
79,100.0,8.8
80,101.0,8.8
81,93.5,8.8
82,94.7,8.8
83,95.8,8.8
84,97.0,8.8
85,98.1,8.8
86,99.2,8.8
87,100.0,8.8
88,101.0,8.8
89,94.0,8.8
90,95.1,8.8
91,96.1,8.8
92,97.1,8.8
93,98.2,8.8
94,99.3,8.8
95,100.0,8.8
96,101.0,8.8
97,94.4,8.8
98,95.3,8.8
99,96.4,8.8
100,97.3,8.8
101,98.3,8.8
102,99.2,8.8
103,100.0,8.8
104,101.0,8.8
105,94.8,8.8
106,95.7,8.8
107,96.5,8.8
108,97.5,8.8
109,98.4,8.8
110,99.2,8.8
111,100.0,8.8
112,101.0,8.8
113,101.0,8.8
114,96.0,8.8
115,96.8,8.8
116,97.6,8.8
117,98.4,8.8
118,99.2,8.8
119,100.0,8.8
120,100.0,8.8
121,101.0,8.8
122,96.2,8.8
123,97.0,8.8
124,97.8,8.8
125,98.5,8.8
126,99.3,8.8
127,100.0,8.8
128,100.0,8.8
129,101.0,8.8
130,96.4,8.8
131,97.1,8.8
132,97.8,8.8
133,98.6,8.8
134,99.3,8.8
135,100.0,8.8
136,100.0,8.8
137,101.0,8.8
138,96.6,8.8
139,97.3,8.8
140,98.0,8.8
141,98.6,8.8
142,99.3,8.8
143,100.0,8.8
144,100.0,8.8
145,101.0,8.8
146,96.7,8.8
147,97.4,8.8
148,98.1,8.8
149,98.7,8.8
150,99.3,8.8
151,100.0,8.8
152,100.0,8.8
153,101.0,8.8
154,96.9,8.8
155,97.6,8.8
156,98.2,8.8
157,98.8,8.8
158,99.4,8.8
159,100.0,8.8
160,100.0,8.8
161,101.0,8.8
162,97.0,8.8
163,97.6,8.8
164,98.2,8.8
165,98.9,8.8
166,99.4,8.8
167,100.0,8.8
168,100.0,8.8
169,101.0,8.8
170,97.2,8.8
171,97.8,8.8
172,98.3,8.8
173,98.9,8.8
174,99.5,8.8
175,100.0,8.8
176,100.0,8.8
177,101.0,8.8
178,97.3,8.8
179,97.9,8.8
180,98.4,8.8
181,98.9,8.8
182,99.5,8.8
183,100.0,8.8
184,100.0,8.8
185,101.0,8.8
186,97.4,8.8
187,97.9,8.8
188,98.5,8.8
189,99.0,8.8
190,99.5,8.8
191,100.0,8.8
192,100.0,8.8
193,101.0,8.8
194,97.5,8.8
195,98.0,8.8
196,98.5,8.8
197,99.0,8.8
198,99.5,8.8
199,100.0,8.8
200,100.0,8.8
201,101.0,8.8
202,97.6,8.8
203,98.1,8.8
204,98.6,8.8
205,99.1,8.8
206,99.5,8.8
207,100.0,8.8
208,100.0,8.8
209,101.0,8.8
210,97.7,8.8
211,98.1,8.8
212,98.6,8.8
213,99.1,8.8
214,99.5,8.8
215,100.0,8.8
216,100.0,8.8
217,100.0,8.8
218,97.8,8.8
219,98.2,8.8
220,98.6,8.8
221,99.1,8.8
222,99.6,8.8
223,100.0,8.8
224,100.0,8.8
225,100.0,8.8
226,97.8,8.8
227,98.3,8.8
228,98.7,8.8
229,99.1,8.8
230,99.5,8.8
231,100.0,8.8
232,100.0,8.8
233,100.0,8.8
234,97.9,8.8
235,98.3,8.8
236,98.7,8.8
237,99.1,8.8
238,99.6,8.8
239,100.0,8.8
240,100.0,0.0
