epoch,cpu,mem
1,54.0,0.3
2,79.0,1.8
3,50.0,3.7
4,62.0,5.1
5,73.5,6.0
6,84.5,7.1
7,63.6,8.8
8,71.0,8.8
9,78.6,8.9
10,86.3,8.9
11,93.6,8.9
12,75.7,8.9
13,81.5,8.9
14,87.0,8.9
15,92.7,8.9
16,78.6,8.9
17,83.0,8.9
18,87.6,8.9
19,92.2,8.9
20,96.6,8.9
21,84.1,8.9
22,88.0,8.9
23,91.8,8.9
24,95.5,8.9
25,85.0,8.9
26,88.2,8.9
27,91.4,8.9
28,94.7,8.9
29,97.8,8.9
30,88.5,8.9
31,91.3,8.9
32,94.1,8.9
33,97.0,8.9
34,88.6,8.9
35,91.2,8.9
36,93.6,8.9
37,96.1,8.9
38,98.6,8.9
39,91.1,8.9
40,93.3,8.9
41,95.5,8.9
42,97.8,8.9
43,90.9,8.9
44,93.0,8.9
45,95.0,8.9
46,97.0,8.9
47,90.8,8.9
48,92.6,8.9
49,94.5,8.9
50,96.4,8.9
51,98.3,8.9
52,92.4,8.9
53,94.2,8.9
54,95.9,8.9
55,97.6,8.9
56,92.2,8.9
57,93.8,8.9
58,95.5,8.9
59,97.0,8.9
60,98.6,8.9
61,93.6,8.9
62,95.0,8.9
63,96.5,8.9
64,98.0,8.9
65,93.3,8.9
66,94.7,8.9
67,96.1,8.9
68,97.5,8.9
69,98.9,8.9
70,94.4,8.9
71,95.7,8.9
72,97.1,8.9
73,98.4,8.9
74,94.1,8.9
75,95.4,8.9
76,96.7,8.9
77,97.9,8.9
78,99.2,8.9
79,95.1,8.9
80,96.3,8.9
81,97.4,8.9
82,98.6,8.9
83,94.9,8.9
84,96.0,8.9
85,97.1,8.9
86,98.2,8.9
87,99.3,8.9
88,95.7,8.9
89,96.7,8.9
90,97.8,8.9
91,98.9,8.9
92,95.4,8.9
93,96.4,8.9
94,97.4,8.9
95,98.5,8.9
96,95.1,8.9
97,96.1,8.9
98,97.1,8.9
99,98.0,8.9
100,99.0,8.9
101,95.8,8.9
102,96.7,8.9
103,97.7,8.9
104,98.6,8.9
105,95.6,8.9
106,96.5,8.9
107,97.4,8.9
108,98.3,8.9
109,99.2,8.9
110,96.2,8.9
111,97.1,8.9
112,98.0,8.9
113,98.8,8.9
114,96.0,8.9
115,96.8,8.9
116,97.6,8.9
117,98.4,8.9
118,99.3,8.9
119,96.5,8.9
120,97.3,8.9
121,98.1,8.9
122,98.9,8.9
123,96.3,8.9
124,97.1,8.9
125,97.8,8.9
126,98.6,8.9
127,99.4,8.9
128,96.8,8.9
129,97.6,8.9
130,98.3,8.9
131,99.1,8.9
132,96.6,8.9
133,97.3,8.9
134,98.0,8.9
135,98.8,8.9
136,99.5,8.9
137,97.0,8.9
138,97.8,8.9
139,98.5,8.9
140,99.2,0.0
