epoch,cpu,mem
1,43.0,0.3
2,54.0,0.5
3,64.0,0.5
4,75.0,0.5
5,86.0,0.5
6,98.0,0.5
7,107.0,0.5
8,113.0,0.6
9,125.0,0.6
10,67.5,0.5
11,73.0,0.6
12,78.5,0.6
13,84.0,0.6
14,89.5,0.6
15,94.5,0.6
16,100.0,0.6
17,105.0,0.6
18,111.0,0.6
19,77.6,0.6
20,81.3,0.6
21,85.0,0.6
22,88.6,0.6
23,92.3,0.6
24,95.6,0.6
25,99.3,0.6
26,103.0,0.6
27,106.0,0.6
28,110.0,0.6
29,85.5,0.6
30,88.2,0.6
31,90.7,0.6
32,93.5,0.6
33,96.2,0.6
34,99.0,0.6
35,101.0,0.6
36,104.0,0.6
37,107.0,0.6
38,87.8,0.6
39,90.0,0.6
40,92.2,0.6
41,94.4,0.6
42,96.6,0.6
43,98.8,0.6
44,101.0,0.6
45,103.0,0.6
46,105.0,0.6
47,89.5,0.6
48,91.3,0.6
49,93.1,0.6
50,95.0,0.6
51,96.8,0.6
52,98.5,0.6
53,100.0,0.6
54,102.0,0.6
55,104.0,0.6
56,90.7,0.6
57,92.2,0.6
58,93.8,0.6
59,95.2,0.6
60,96.8,0.6
61,98.4,0.6
62,100.0,0.6
63,101.0,0.6
64,103.0,0.6
65,91.6,0.6
66,92.8,0.6
67,94.2,0.6
68,95.6,0.6
69,97.0,0.6
70,98.3,0.6
71,99.7,0.6
72,101.0,0.6
73,102.0,0.6
74,103.0,0.6
75,93.4,0.6
76,94.6,0.6
77,95.8,0.6
78,97.1,0.6
79,98.3,0.6
80,99.4,0.6
81,100.0,0.6
82,101.0,0.6
83,103.0,0.6
84,93.9,0.6
85,95.0,0.6
86,96.1,0.6
87,97.1,0.6
88,98.3,0.6
89,99.3,0.6
90,100.0,0.6
91,101.0,0.6
92,102.0,0.6
93,94.2,0.6
94,95.1,0.6
95,96.2,0.6
96,97.1,0.6
97,98.1,0.6
98,99.1,0.6
99,100.0,0.6
100,101.0,0.6
101,102.0,0.6
102,94.5,0.6
103,95.4,0.6
104,96.3,0.6
105,97.2,0.6
106,98.1,0.6
107,99.0,0.6
108,100.0,0.6
109,100.0,0.6
110,101.0,0.6
111,102.0,0.6
112,95.6,0.6
113,96.4,0.6
114,97.3,0.6
115,98.1,0.6
116,99.0,0.6
117,99.7,0.6
118,100.0,0.6
119,101.0,0.6
120,102.0,0.6
121,95.7,0.6
122,96.5,0.6
123,97.3,0.6
124,98.1,0.6
125,98.9,0.6
126,99.6,0.6
127,100.0,0.6
128,101.0,0.6
129,102.0,0.6
130,95.9,0.6
131,96.6,0.6
132,97.4,0.6
133,98.0,0.6
134,98.8,0.6
135,99.5,0.6
136,100.0,0.6
137,101.0,0.6
138,101.0,0.6
139,96.0,0.6
140,96.7,0.6
141,97.4,0.6
142,98.0,0.6
143,98.8,0.6
144,99.4,0.6
145,100.0,0.6
146,100.0,0.6
147,101.0,0.6
148,96.1,0.6
149,96.8,0.6
150,97.4,0.6
151,98.1,0.6
152,98.7,0.6
153,99.3,0.6
154,100.0,0.6
155,100.0,0.6
156,101.0,0.6
157,96.2,0.6
158,96.9,0.6
159,97.5,0.6
160,98.1,0.6
161,98.7,0.6
162,99.3,0.6
163,99.9,0.6
164,100.0,0.6
165,101.0,0.6
166,101.0,0.6
167,97.0,0.6
168,97.5,0.6
169,98.1,0.6
170,98.7,0.6
171,99.3,0.6
172,99.8,0.6
173,100.0,0.6
174,101.0,0.6
175,101.0,0.6
176,97.0,0.6
177,97.6,0.6
178,98.1,0.6
179,98.7,0.6
180,99.2,0.6
181,99.8,0.6
182,100.0,0.6
183,100.0,0.6
184,101.0,0.6
185,97.1,0.6
186,97.6,0.6
187,98.1,0.6
188,98.7,0.6
189,99.1,0.6
190,99.7,0.6
191,100.0,0.6
192,100.0,0.6
193,101.0,0.6
194,97.2,0.6
195,97.6,0.6
196,98.1,0.6
197,98.6,0.6
198,99.1,0.6
199,99.6,0.6
200,100.0,0.6
201,100.0,0.6
202,101.0,0.6
203,97.2,0.6
204,97.7,0.6
205,98.2,0.6
206,98.6,0.6
207,99.1,0.6
208,99.6,0.6
209,100.0,0.6
210,100.0,0.6
211,101.0,0.6
212,97.2,0.6
213,97.7,0.6
214,98.2,0.6
215,98.6,0.6
216,99.1,0.6
217,99.5,0.6
218,100.0,0.6
219,100.0,0.6
220,100.0,0.6
221,97.3,0.6
222,97.8,0.6
223,98.2,0.6
224,98.6,0.6
225,99.1,0.6
226,99.5,0.6
227,99.9,0.6
228,100.0,0.6
229,100.0,0.6
230,97.3,0.6
231,97.8,0.6
232,98.2,0.6
233,98.6,0.6
234,99.0,0.6
235,99.5,0.6
236,99.9,0.6
237,100.0,0.6
238,100.0,0.6
239,101.0,0.6
240,97.8,0.6
241,98.2,0.6
242,98.6,0.6
243,99.0,0.6
244,99.4,0.6
245,99.8,0.6
246,100.0,0.6
247,100.0,0.6
248,101.0,0.6
249,97.8,0.6
250,98.2,0.6
251,98.6,0.6
252,99.0,0.6
253,99.3,0.6
254,99.7,0.6
255,100.0,0.6
256,100.0,0.6
257,100.0,0.6
258,97.8,0.6
259,98.2,0.6
260,98.5,0.6
261,99.0,0.6
262,99.3,0.6
263,99.7,0.6
264,100.0,0.6
265,100.0,0.6
266,100.0,0.6
267,97.8,0.6
268,98.2,0.6
269,98.6,0.6
270,98.9,0.6
271,99.3,0.6
272,99.7,0.6
273,100.0,0.6
274,100.0,0.6
275,100.0,0.0
